date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2014-12-01 00:00:00+00:00,1569.65,1569.65,1552.306,1544.184,8887778.0,-18.545,-1.18,1556.542,1527.736,1508.461,8478713.9,7156535.05,6586267.78
2014-12-02 00:00:00+00:00,1554.464,1567.541,1565.417,1552.126,8125992.0,13.111,0.84,1561.241,1536.091,1510.912,8494360.9,7451692.0,6675481.85
2014-12-03 00:00:00+00:00,1568.474,1604.88,1604.447,1540.423,13363363.0,39.03,2.49,1571.286,1545.981,1515.51,9571616.9,8191794.2,7068197.1
2014-12-04 00:00:00+00:00,1604.891,1631.314,1621.845,1604.891,11818100.0,17.398,1.08,1582.973,1558.706,1519.976,10350494.6,8783941.55,7369436.6
2014-12-05 00:00:00+00:00,1626.118,1626.118,1581.907,1544.465,12453165.0,-39.938,-2.46,1585.184,1566.414,1522.94,10929679.6,9491424.45,7607707.7
2014-12-08 00:00:00+00:00,1575.303,1600.865,1567.163,1554.785,11905377.0,-14.744,-0.93,1588.156,1572.349,1525.558,11533199.4,10005956.65,7897688.5
2014-12-09 00:00:00+00:00,1557.017,1577.748,1504.623,1504.227,13437291.0,-62.54,-3.99,1575.997,1568.619,1527.713,12595459.2,10544910.05,8178440.15
2014-12-10 00:00:00+00:00,1499.33,1576.888,1572.685,1499.33,11645016.0,68.062,4.52,1569.645,1570.465,1532.56,12251789.8,10911703.35,8527813.13
2014-12-11 00:00:00+00:00,1572.605,1593.382,1587.665,1563.315,10808212.0,14.98,0.95,1562.809,1572.891,1539.8,12049812.2,11200153.4,8737673.2
2014-12-12 00:00:00+00:00,1588.241,1626.339,1623.569,1586.751,10250238.0,35.904,2.26,1571.141,1578.163,1548.918,11609226.8,11269453.2,9028941.78
2014-12-15 00:00:00+00:00,1623.603,1664.26,1657.498,1619.702,10029890.0,33.929,2.09,1589.208,1588.682,1558.209,11234129.4,11383664.4,9270099.73
2014-12-16 00:00:00+00:00,1665.298,1674.977,1649.582,1636.176,9025219.0,-7.916,-0.48,1618.2,1597.098,1566.595,10351715.0,11473587.1,9462639.55
2014-12-17 00:00:00+00:00,1639.154,1652.975,1644.212,1623.696,8897670.0,-5.37,-0.33,1632.505,1601.075,1573.528,9802245.8,11027017.8,9609406.0
2014-12-18 00:00:00+00:00,1641.577,1663.667,1634.052,1633.256,7890489.5,-10.16,-0.62,1641.783,1602.296,1580.501,9218701.3,10634256.75,9709099.15
2014-12-19 00:00:00+00:00,1627.8,1627.8,1596.811,1568.983,8451846.0,-37.241,-2.28,1636.431,1603.786,1585.1,8859022.9,10234124.85,9862774.65
2014-12-22 00:00:00+00:00,1583.955,1583.955,1517.928,1510.047,9139626.0,-78.883,-4.94,1608.517,1598.862,1585.606,8680970.1,9957549.75,9981753.2
2014-12-23 00:00:00+00:00,1501.527,1543.348,1496.534,1489.118,7374960.0,-21.394,-1.41,1577.907,1598.054,1583.336,8350918.3,9351316.65,9948113.35
2014-12-24 00:00:00+00:00,1502.667,1524.268,1519.798,1501.228,5908522.5,23.264,1.55,1553.025,1592.765,1581.615,7753088.8,8777667.3,9844685.32
2014-12-25 00:00:00+00:00,1521.995,1531.636,1529.468,1514.227,5972622.5,9.67,0.64,1532.108,1586.945,1579.918,7369515.4,8294108.35,9747130.88
2014-12-26 00:00:00+00:00,1531.2,1539.16,1536.082,1524.008,6024367.0,6.614,0.43,1519.962,1578.196,1578.18,6884019.6,7871521.25,9570487.23
2014-12-29 00:00:00+00:00,1531.117,1531.117,1499.4,1491.21,8416280.0,-36.682,-2.39,1516.256,1562.387,1575.534,6739350.4,7710160.25,9546912.32
2014-12-30 00:00:00+00:00,1491.1,1493.437,1460.108,1450.049,7632860.0,-39.292,-2.62,1508.971,1543.439,1570.269,6790930.4,7570924.35,9522255.73
2014-12-31 00:00:00+00:00,1455.679,1479.856,1471.764,1451.287,6278563.0,11.656,0.8,1499.364,1526.195,1563.635,6864938.5,7309013.65,9168015.73
